job_id,titles,companies,locations,categorys,subCategories,job_types,salaries,dateposted,datedisplay
74612326,"Channel Insights Manager, 12 months contract",Apple Inc.,Central Region,Information & Communication Technology,Management,Casual/Vacation,,2024-03-20T18:53:00Z,4h ago
74611803,Solution Architect,Pan Asia HR Consulting,Central Region,Information & Communication Technology,Architects,Full time,,2024-03-20T18:46:00Z,4h ago
74454624,Senior Data Engineer (Data Lake Integration),A-IT Software Services Pte Ltd,Singapore,Information & Communication Technology,Developers/Programmers,Contract/Temp,,2024-03-14T05:18:08Z,6d ago
74425926,Data Engineering Academy,LUXOFT MALAYSIA SDN. BHD.,Central Region,Information & Communication Technology,Engineering - Software,Full time,"$3,000 – $4,500 per month",2024-03-13T08:04:34Z,7d ago
74382133,Data Engineer,So Drama! Entertainment,Central Region,Information & Communication Technology,Database Development & Administration,Contract/Temp,,2024-03-12T02:58:44Z,8d ago
74507970,"SVP, Lead Quant Strat (Single Name Insights), Investment Insights Group",GIC Private Limited,Central Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-16T09:07:00Z,4d ago
74540571,"Research Scientist (6-month contract), RISE",Singapore Management University,Central Region,Education & Training,Research & Fellowships,Contract/Temp,,2024-03-18T16:48:00Z,2d ago
74522731,Senior Cloud Architect (Microsoft Azure),MTC Consulting Pte. Ltd.,Central Region,Information & Communication Technology,Architects,Full time,"$9,000 – $13,000 per month",2024-03-18T03:18:36Z,2d ago
74503347,"Senior Engineer, CHART (Sensing and Robotics Systems)",Changi General Hospital,East Region,Information & Communication Technology,Engineering - Software,Full time,,2024-03-16T01:48:40Z,4d ago
74459088,Learning Technologist,Lee Kong Chian School of Medicine,Central Region,Education & Training,Workplace Training & Assessment,Full time,,2024-03-14T08:05:01Z,6d ago
74115949,Research Engineer (Algorithmic and Statistical Analysis in Machine Learning..,National University of Singapore,Central Region,Education & Training,Other,Full time,,2024-02-29T06:46:06Z,20d ago
74495476,Senior Research Scientist (Mechanobiology Institute),Yale-NUS College,Central Region,Science & Technology,Biological & Biomedical Sciences,Full time,,2024-03-15T10:36:00Z,5d ago
74422017,Date Engineer (ETL) - DSC/JS,ST Engineering Training & Simulation Systems Pte Ltd,North-East Region,Information & Communication Technology,Engineering - Software,Full time,,2024-03-13T06:31:56Z,7d ago
74496936,Senior/Staff ISP RTL Design Engineer,OmniVision Technologies Singapore Pte Ltd,West Region,Engineering,Electrical/Electronic Engineering,Full time,,2024-03-15T10:34:00Z,5d ago
74381705,Senior/ Data Engineer - DSC/EZ,ST Engineering Mission Software & Services Pte Ltd,North-East Region,Science & Technology,"Mathematics, Statistics & Information Sciences",Full time,,2024-03-12T02:46:41Z,8d ago
